Time,GPS,Longitude,Latitude,Accelerometer,X,Y,Z,2A/SOC/%,2B/Battery Energy/kWh,2E/Total Current/A,2F/Total Voltage/V,2G/Lowest Battery Temp/F,2H/Highest Battery Temp/F,2I/Speed/mph,2J/Motor RPM/rpm,2K/Total Mileage/miles,2L/Range/miles,2M/Left Charge Status/bit,2N/Right Charge Status/bit,2T/WAVE Status/bit,2U/High Voltage/bit,2Z/Motor Voltage/V
2017-06-13 00:01:33,A,12.347247,-343.149553,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:02:44,A,12.347245,-343.149687,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:04:33,A,12.347247,-343.149552,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:05:44,A,12.347245,-343.149690,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:07:33,A,12.347247,-343.149557,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:07:36,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 00:08:44,A,12.347247,-343.149688,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:10:33,A,12.347247,-343.149557,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:11:44,A,12.347247,-343.149688,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:13:33,A,12.347247,-343.149560,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:14:44,A,12.347248,-343.149690,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:16:33,A,12.347248,-343.149565,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:17:44,A,12.347248,-343.149687,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:19:33,A,12.347248,-343.149567,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
